"","X","PrizeID","Alias","Prize.Name","Inst","Year","Genre","person_id","person_role","last_name","first_name","name","gender","sexuality","uk_residence","ethnicity_macro","ethnicity","highest_degree","degree_institution","degree_field_category","degree_field","viaf","book_id","book_title"
"813",813,12,"BSFA Award for Best Novel","BSFA Award for Best Novel","British Science Fiction Association",2018,"sff",493,"winner","Powell","Gareth L","Powell, Gareth L","man","unknown",TRUE,"White British","British","Unknown","unknown","Unknown","Unknown","93267843",631,"Embers of War"
"814",814,8,"Booker Prize","Man Booker Prize","Booker Foundation",2018,"fiction",181,"shortlisted","Powers","Richard","Powers, Richard","man","unknown",FALSE,"Non-UK White","White American","Masters","University of Illinois","Language and Literature","English Literature","102514617",265,"The Overstory"
"815",815,15,"Ted Hughes Award for New Work in Poetry","Ted Hughes Award for New Work in Poetry","Poetry Society",2018,"poetry",593,"shortlisted","Richardson","Susan","Richardson, Susan","woman","unknown",TRUE,"White British","Welsh","Doctorate","University of Toronto","Arts","Drama","24111237",754,"Words the Turtle Taught Me"
"816",816,8,"Booker Prize","Man Booker Prize","Booker Foundation",2018,"fiction",197,"shortlisted","Robertson","Robin","Robertson, Robin","man","unknown",TRUE,"White British","Scottish","Masters","unknown","Unknown","Unknown","275210068",275,"The Long Take"
"817",817,4,"Costa Novel Award","Costa Novel Award","Costa",2018,"fiction",51,"winner","Rooney","Sally","Rooney, Sally","woman","unknown",FALSE,"Irish","Irish","Bachelors","Trinity College, Dublin","Language and Literature","English Literature","49149912708206212971",277,"Normal People"
"818",818,10,"Women's Prize for Fiction","Women's Prize for Fiction","Women's Prize Trust",2018,"fiction",315,"winner","Shamsie","Kamila","Shamsie, Kamila","woman","unknown",TRUE,"Asian","Pakistani British","Masters","University of Massachusetts, Amherst","Writing","Creative Writing","102271932",386,"Home Fire"
"819",819,14,"TS Eliot Prize","TS Eliot Prize","TS Eliot Foundation",2018,"poetry",525,"winner","Sullivan","Hannah","Sullivan, Hannah","woman","unknown",TRUE,"White British","British","Doctorate","Harvard University","Language and Literature","English and American Literature","292640194",672,"Three Poems"
"820",820,15,"Ted Hughes Award for New Work in Poetry","Ted Hughes Award for New Work in Poetry","Poetry Society",2018,"poetry",525,"shortlisted","Sullivan","Hannah","Sullivan, Hannah","woman","unknown",TRUE,"White British","British","Doctorate","Harvard University","Language and Literature","English and American Literature","292640194",672,"Three Poems"
"821",821,3,"Costa First Novel Award","Costa First Novel Award","Costa",2018,"fiction",50,"winner","Turton","Stuart","Turton, Stuart","man","unknown",TRUE,"White British","English","Bachelors","unknown","Multiple","English and Philosophy","2150516750903442710",341,"The Seven Deaths of Evelyn Hardcastle"
"822",822,2,"Costa Book of the Year","Costa Book of the Year","Costa",2018,"no/any/multi genre",49,"winner","van Es","Bart","van Es, Bart","man","unknown",TRUE,"Non-UK White","Dutch","Bachelors","University of Cambridge","Language and Literature","English Literature","15003652",345,"The Cut Out Girl"
"823",823,5,"Costa Biography Award","Costa Biography Award","Costa",2018,"biography",49,"winner","van Es","Bart","van Es, Bart","man","unknown",TRUE,"Non-UK White","Dutch","Bachelors","University of Cambridge","Language and Literature","English Literature","15003652",345,"The Cut Out Girl"
"824",824,11,"Gold Dagger","Gold Dagger","The Crime Writers' Association",2018,"crime",430,"shortlisted","Viskic","Emma","Viskic, Emma","woman","unknown",FALSE,"Non-UK White","Slavic Australian","Unknown","unknown","Unknown","Unknown","74152380125101762883",544,"Resurrection Bay"
"825",825,10,"Women's Prize for Fiction","Women's Prize for Fiction","Women's Prize Trust",2018,"fiction",320,"shortlisted","Ward","Jesmyn","Ward, Jesmyn","woman","unknown",FALSE,"Non-White American","Black American","Masters","University of Michigan","Writing","Creative Writing","48698155",391,"Sing, Unburied, Sing"
